embryo_count,gestation_day,col_mm,ttl_mm,notes
1,95,15.5,12.8, unpublished Drummer at. al
2, 130, 27,19.5, unpublished Drummer at. al
2, 130, 25.5, 18.6, unpublished Drummer at. al
3, 120, 22,18, unpublished Drummer at. al
3, 120, 21.1, 18.2, unpublished Drummer at. al
3, 120, 22, 17.3, unpublished Drummer at. al
2, 90, 11.9, 10.6, unpublished Drummer at. Al
2, 90, 11, 10.5, unpublished Drummer at. Al
1, 144, 29, 19, unpublished Drummer at. Al
1, 112, 18, 15, Oerke Diss 1996
1, 144, 28.1, 19.3, Oerke Diss 1996
1, 111, 16.8, 12.7, Phillips lab.anim. 1976
1, 117, 18.5, -, Phillips lab.anim. 1976
1, 129, 26.8, 18.7, Phillips lab.anim. 1976
1, 138, 23.4, 19, Phillips lab.anim. 1976
1, 144, 30, -, Phillips lab.anim. 1976
1, 98, 16, 12.5, unpublished Lindenwald et al.
1, 105, 17.7, 14.3, unpublished Lindenwald et al.
1, 132, 28, 19, unpublished Lindenwald et al.
1, 139, 29, 20, unpublished Lindenwald et al.
1, 146, 32, 22, Neonat unpublished Lindenwald et al.
1, 78, 5.5, 4.5, unpublished Lindenwald et al.
1, 92, 12.4, 11.1, unpublished Lindenwald et al.
1, 108, 19.2, 15.2, unpublished Lindenwald et al.
1, 120, 19.5, 17.0, unpublished Lindenwald et al.
1, 134, 22, 20.0, unpublished Lindenwald et al.
2, 126, 26.5, 16.9, unpublished Lindenwald et al.
2, 126, 23.1, 17.6, unpublished Lindenwald et al.
2, 133, 26.6, 17.8, unpublished Lindenwald et al.
2, 139, 26.7, 18.3, unpublished Lindenwald et al.
1, 126, 25,16, unpublished Lindenwald et al.
1, 133, 28, 19, unpublished Lindenwald et al.
1, 140, 29.5, 19.5, unpublished Lindenwald et al.
1, 147, 30, 19.5, Kaiserschnitt unpublished Lindenwald et al.
3, 77, 7.2, 5.2, Kaiserschnitt unpublished Lindenwald et al.
3, 77, 6.7, 5.3, Kaiserschnitt unpublished Lindenwald et al.
3, 84, 9.2, 7.8, Kaiserschnitt unpublished Lindenwald et al.
3, 87, 12.5, 10, Kaiserschnitt unpublished Lindenwald et al.
3, 87, 12, 9, Kaiserschnitt unpublished Lindenwald et al.
3, 95, 11.95, 9.86, Kaiserschnitt unpublished Lindenwald et al.
3, 95, 11.33, 9.47, Kaiserschnitt unpublished Lindenwald et al.
3, 95, 11.45, 9.1, Kaiserschnitt unpublished Lindenwald et al.
